"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040056208'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040079460'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040078097'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040077950'","'2018-09-18 21:10:00'","737321.88194444","3"
"'040077974'","'2018-09-18 21:10:00'","737321.88194444","1"
"'040069137'","'2018-09-18 21:10:00'","737321.88194444","1"
"'040078097'","'2018-09-18 21:10:00'","737321.88194444","4"
"'040077950'","'2018-09-18 21:05:00'","737321.87847222","1"
"'040078048'","'2018-09-18 21:05:00'","737321.87847222","1"
"'040079460'","'2018-09-18 21:05:00'","737321.87847222","2"
"'040078063'","'2018-09-18 21:05:00'","737321.87847222","1"
"'040077960'","'2018-09-18 21:05:00'","737321.87847222","2"
"'040069137'","'2018-09-18 21:05:00'","737321.87847222","2"
"'040078078'","'2018-09-18 21:05:00'","737321.87847222","2"
"'040077964'","'2018-09-18 21:00:00'","737321.875","1"
"'040077969'","'2018-09-18 21:00:00'","737321.875","1"
"'040078068'","'2018-09-18 21:00:00'","737321.875","1"
"'040077964'","'2018-09-18 20:55:00'","737321.87152778","5"
"'040078097'","'2018-09-18 20:55:00'","737321.87152778","3"
"'040078092'","'2018-09-18 20:55:00'","737321.87152778","1"
"'040078079'","'2018-09-18 20:55:00'","737321.87152778","1"
"'040069063'","'2018-09-18 20:55:00'","737321.87152778","1"
"'040077948'","'2018-09-18 20:55:00'","737321.87152778","2"
"'040056208'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040078051'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040077950'","'2018-09-18 20:50:00'","737321.86805556","3"
"'040069137'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040078097'","'2018-09-18 20:50:00'","737321.86805556","3"
"'040079460'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040078079'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040078084'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040077942'","'2018-09-18 20:50:00'","737321.86805556","1"
"'040069137'","'2018-09-18 20:45:00'","737321.86458333","1"
"'040079460'","'2018-09-18 20:45:00'","737321.86458333","1"
"'040077960'","'2018-09-18 20:45:00'","737321.86458333","2"
"'040077950'","'2018-09-18 20:45:00'","737321.86458333","2"
"'040078097'","'2018-09-18 20:20:00'","737321.84722222","5"
"'040078092'","'2018-09-18 20:20:00'","737321.84722222","1"
"'040078048'","'2018-09-18 20:20:00'","737321.84722222","1"
"'040077688'","'2018-09-18 20:20:00'","737321.84722222","1"
"'040077960'","'2018-09-18 20:20:00'","737321.84722222","2"
"'040078079'","'2018-09-18 20:20:00'","737321.84722222","2"
"'040078051'","'2018-09-18 20:20:00'","737321.84722222","2"
"'040077950'","'2018-09-18 20:20:00'","737321.84722222","2"
