PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040078036','2018-09-18 19:50:00',737321.82638889,63,36,48,5.7142857142857
'040078036','2018-09-18 19:55:00',737321.82986111,34,53,67,7.7922077922078
'040078036','2018-09-18 20:00:00',737321.83333333,38,70,45,7.5163398692811
'040078049','2018-09-18 19:45:00',737321.82291667,13,81,54,9.1216216216216
'040078049','2018-09-18 19:50:00',737321.82638889,21,58,73,8.6184210526316
'040078049','2018-09-18 19:55:00',737321.82986111,14,39,100,9.0849673202614
'040069068','2018-09-18 19:45:00',737321.82291667,46,97,7,6.9333333333333
'040069068','2018-09-18 19:50:00',737321.82638889,71,76,8,5.4193548387097
'040069068','2018-09-18 19:55:00',737321.82986111,79,58,15,4.8026315789474
'040078067','2018-09-18 19:50:00',737321.82638889,30,43,72,7.9310344827586
'040078067','2018-09-18 19:55:00',737321.82986111,25,31,96,8.3552631578947
'040078067','2018-09-18 20:00:00',737321.83333333,31,70,52,7.9738562091503
'040078041','2018-09-18 19:50:00',737321.82638889,80,67,4,4.7019867549669
'040078041','2018-09-18 19:55:00',737321.82986111,49,63,40,6.7763157894737
'040078041','2018-09-18 20:00:00',737321.83333333,73,66,15,5.2597402597403
'040077943','2018-09-18 19:50:00',737321.82638889,59,61,25,5.9310344827586
'040077943','2018-09-18 19:55:00',737321.82986111,37,72,44,7.5816993464052
'040077943','2018-09-18 20:00:00',737321.83333333,19,109,26,8.7662337662338
'040056203','2018-09-18 19:50:00',737321.82638889,83,63,3,4.4295302013423
'040056203','2018-09-18 19:55:00',737321.82986111,60,82,10,6.0526315789474
'040056203','2018-09-18 20:00:00',737321.83333333,88,59,7,4.2857142857143
'040077944','2018-09-18 19:50:00',737321.82638889,24,77,49,8.4
'040077944','2018-09-18 19:55:00',737321.82986111,37,75,40,7.5657894736842
'040077944','2018-09-18 20:00:00',737321.83333333,73,61,18,5.1973684210526
'040078046','2018-09-18 19:50:00',737321.82638889,25,27,97,8.3221476510067
'040078046','2018-09-18 19:55:00',737321.82986111,7,64,80,9.5364238410596
'040078046','2018-09-18 20:00:00',737321.83333333,18,49,87,8.8311688311688
'040078082','2018-09-18 19:50:00',737321.82638889,69,27,53,5.3691275167785
'040078082','2018-09-18 19:55:00',737321.82986111,44,40,69,7.1241830065359
'040078082','2018-09-18 20:00:00',737321.83333333,78,31,43,4.8684210526316
'040056208','2018-09-18 19:50:00',737321.82638889,108,46,0,2.987012987013
'040056208','2018-09-18 20:00:00',737321.83333333,132,21,0,1.3725490196078
'040056208','2018-09-18 20:05:00',737321.83680556,105,45,1,3.046357615894
'040056212','2018-09-18 19:50:00',737321.82638889,92,58,2,3.9473684210526
'040056212','2018-09-18 19:55:00',737321.82986111,98,56,0,3.6363636363636
'040056212','2018-09-18 20:00:00',737321.83333333,110,36,9,2.9032258064516
'040077939','2018-09-18 19:50:00',737321.82638889,31,56,62,7.9194630872483
'040077939','2018-09-18 19:55:00',737321.82986111,19,49,84,8.75
'040077939','2018-09-18 20:00:00',737321.83333333,81,21,50,4.6710526315789
'040078086','2018-09-18 19:50:00',737321.82638889,38,66,42,7.3972602739726
'040078086','2018-09-18 19:55:00',737321.82986111,30,68,55,8.0392156862745
'040078086','2018-09-18 20:00:00',737321.83333333,74,51,26,5.0993377483444
'040078063','2018-09-18 19:55:00',737321.82986111,39,65,45,7.3825503355705
'040078063','2018-09-18 20:00:00',737321.83333333,27,65,60,8.2236842105263
'040078063','2018-09-18 20:05:00',737321.83680556,55,56,43,6.4285714285714
'040056209','2018-09-18 19:55:00',737321.82986111,83,57,10,4.4666666666667
'040056209','2018-09-18 20:00:00',737321.83333333,91,51,13,4.1290322580645
'040056209','2018-09-18 20:05:00',737321.83680556,92,56,4,3.9473684210526
'040078095','2018-09-18 19:55:00',737321.82986111,18,63,69,8.8
'040078095','2018-09-18 20:00:00',737321.83333333,66,38,50,5.7142857142857
'040078095','2018-09-18 20:05:00',737321.83680556,15,63,74,9.0131578947368
'040077964','2018-09-18 19:55:00',737321.82986111,50,61,39,6.6666666666667
'040077964','2018-09-18 20:00:00',737321.83333333,88,46,16,4.1333333333333
'040077964','2018-09-18 20:05:00',737321.83680556,110,37,6,2.8104575163399
'040077948','2018-09-18 19:55:00',737321.82986111,6,56,75,9.5620437956204
'040077948','2018-09-18 20:00:00',737321.83333333,57,50,46,6.2745098039216
'040077948','2018-09-18 20:05:00',737321.83680556,32,85,37,7.9220779220779
'040077960','2018-09-18 19:55:00',737321.82986111,122,26,0,1.7567567567568
'040077960','2018-09-18 20:00:00',737321.83333333,129,27,0,1.7307692307692
'040077960','2018-09-18 20:05:00',737321.83680556,110,44,0,2.8571428571429
'040077949','2018-09-18 19:55:00',737321.82986111,41,65,44,7.2666666666667
'040077949','2018-09-18 20:00:00',737321.83333333,21,51,80,8.6184210526316
'040077949','2018-09-18 20:05:00',737321.83680556,41,24,87,7.3026315789474
'040077942','2018-09-18 19:55:00',737321.82986111,34,88,28,7.7333333333333
'040077942','2018-09-18 20:00:00',737321.83333333,60,62,29,6.0264900662252
'040077942','2018-09-18 20:05:00',737321.83680556,61,68,23,5.9868421052632
'040078048','2018-09-18 19:55:00',737321.82986111,48,25,73,6.7123287671233
'040078048','2018-09-18 20:00:00',737321.83333333,66,31,55,5.6578947368421
'040078048','2018-09-18 20:05:00',737321.83680556,14,45,93,9.078947368421
'040078092','2018-09-18 19:50:00',737321.82638889,8,51,92,9.4701986754967
'040078092','2018-09-18 19:55:00',737321.82986111,8,54,90,9.4736842105263
'040078092','2018-09-18 20:00:00',737321.83333333,34,54,65,7.7777777777778
'040078043','2018-09-18 19:55:00',737321.82986111,56,61,33,6.2666666666667
'040078043','2018-09-18 20:00:00',737321.83333333,41,81,31,7.3202614379085
'040078043','2018-09-18 20:05:00',737321.83680556,42,77,32,7.2185430463576
'040078079','2018-09-18 20:00:00',737321.83333333,53,41,55,6.4429530201342
'040078079','2018-09-18 20:05:00',737321.83680556,41,59,52,7.3026315789474
'040078079','2018-09-18 20:10:00',737321.84027778,83,20,49,4.5394736842105
'040078058','2018-09-18 20:00:00',737321.83333333,22,62,64,8.5135135135135
'040078058','2018-09-18 20:05:00',737321.83680556,33,66,54,7.843137254902
'040078058','2018-09-18 20:10:00',737321.84027778,119,14,15,1.9594594594595
'040077937','2018-09-18 19:55:00',737321.82986111,32,80,34,7.8082191780822
'040077937','2018-09-18 20:00:00',737321.83333333,31,94,27,7.9605263157895
